Secs,IMUok,IMUcal,roll,pitch,yaw,accLong,accTrans,accVert,DVLok,Vbow,Vstar,Vport,Vstern,Rbow,Rstar,Rport,Rstern,Sbow,Sstar,Sport,Sstern
0.050000,0,x,-0.666468,-3.453224,209.046362,-0.210000,-0.260000,-0.030000,-0.030000,-0.175636,0.065986,-0.097545,0.186908,1.212885,1.241423,2.397231,1.255692,L,L,-,L,
0.050000,0,x,-0.689751,-3.595538,208.969878,-0.310000,-0.060000,-0.010000,-0.010000,-0.038450,0.082301,-0.063931,0.234814,1.198615,1.255692,1.255692,1.212885,L,L,L,L,
0.050000,0,x,-0.687167,-3.666600,208.927831,-0.340000,0.010000,0.130000,0.130000,-0.127504,0.103702,0.053533,0.153343,1.227154,1.255692,5.379500,1.227154,L,L,L,L,
0.050000,0,x,-0.713393,-3.593680,208.919689,-0.160000,0.030000,0.120000,0.120000,-0.090510,0.038046,-0.059550,0.081703,1.241423,1.241423,1.255692,1.227154,L,L,L,L,
0.050000,0,x,-0.728674,-3.561551,208.926738,-0.090000,0.090000,0.040000,0.040000,-0.220386,-0.085916,0.030339,-0.345755,2.397231,1.227154,1.298500,1.198615,L,L,L,L,
0.050000,0,x,-0.712503,-3.709193,208.922135,0.250000,-0.470000,-0.230000,-0.230000,-0.155319,0.051414,0.048403,0.202268,1.227154,1.227154,1.241423,1.227154,L,L,L,L,
0.050000,0,x,-0.677129,-3.931310,208.917272,-0.000000,-0.070000,-0.260000,-0.260000,-0.165017,0.120931,-0.050109,0.183541,1.212885,1.212885,2.654077,2.368692,L,L,L,L,
0.050000,0,x,-0.715991,-3.948550,208.918706,0.010000,-0.070000,-0.360000,-0.360000,-0.327878,0.139336,-0.060090,0.207322,2.368692,1.298500,1.227154,1.269961,L,L,L,L,
0.050000,0,x,-0.783647,-3.937184,208.927735,0.150000,-0.090000,-0.040000,-0.040000,-0.174287,0.079178,-0.076687,0.181821,1.198615,1.241423,1.227154,1.241423,L,L,L,L,
0.050000,0,x,-0.809321,-4.037206,208.900483,-0.290000,0.170000,-0.060000,-0.060000,-0.086970,0.095531,-0.033982,0.067390,1.184346,1.212885,1.255692,1.341308,L,L,L,L,
0.050000,0,x,-0.819174,-4.112146,208.896330,-0.430000,-0.070000,0.220000,0.220000,-0.183187,0.064091,0.004906,0.123199,1.184346,1.212885,5.393769,1.198615,L,L,L,L,
